lab_ID,bio_rep,tech_rep,common_reality,reference,campaign,task,run_num,year,month,day,lat,lon,depth_m,habitat,num_dolphins,collection_type,collection_time,filter_start_time ,filter_end_time,volume_L,pore_size_um,volume_eluted,filter_type,filter_size_mm,preservation,extraction,molecular_platform,total_DNA_ng_ul,dolphin_DNA_copy_uL
52345-011,1,1,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,1,100,MCE,47,longmires,PCI,qPCR,53.4,6627.48
52345-011,1,2,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,1,100,MCE,47,longmires,PCI,qPCR,53.4,7539.44
52345-011,1,3,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,1,100,MCE,47,longmires,PCI,qPCR,53.4,6542.44
52345-012,2,1,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,1,100,MCE,47,longmires,PCI,qPCR,46.2,6305.2
52345-012,2,2,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,1,100,MCE,47,longmires,PCI,qPCR,46.2,6415.16
52345-012,2,3,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,1,100,MCE,47,longmires,PCI,qPCR,46.2,5916.9
52345-013,3,1,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,1,100,MCE,47,longmires,PCI,qPCR,54.6,8215.78
52345-013,3,2,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,1,100,MCE,47,longmires,PCI,qPCR,54.6,8803.2
52345-013,3,3,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,1,100,MCE,47,longmires,PCI,qPCR,54.6,8182.7
52345-014,1,1,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,5,100,MCE,47,longmires,PCI,qPCR,45,6640.68
52345-014,1,3,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,5,100,MCE,47,longmires,PCI,qPCR,45,7471.58
52345-015,2,1,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,5,100,MCE,47,longmires,PCI,qPCR,42.4,5475.22
52345-015,2,2,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,5,100,MCE,47,longmires,PCI,qPCR,42.4,5434.56
52345-015,2,3,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,5,100,MCE,47,longmires,PCI,qPCR,42.4,6059.66
52345-016,3,1,1,inside pen with 3 dolphins,Sept_2022,filter_vol,PB110,2022,9,30,47.74284,-122.729738,0,pen,3,bottle,13:35,17:00,17:00,1,5,100,MCE,47,longmires,PCI,qPCR,31.2,5274
