sample,reference,bio_rep,tech_rep,dilution,smithroot_v_vaccum,filter_v_liq,preservation,extraction,Ct,quantity,inhibition_value,inhibited,PB_no,total_DNA
52345-234,Extra longmires from sample 52345-079,,1,1,vacuum,liquid,longmires,zymo,30.385,6560.479,0.466,0,PB118,0.196
52345-234,Extra longmires from sample 52345-079,,2,1,vacuum,liquid,longmires,zymo,30.476,6165.138,0.169,0,PB118,0.196
52345-234,Extra longmires from sample 52345-079,,3,1,vacuum,liquid,longmires,zymo,30.835,4828.901,0.236,0,PB118,0.196
52345-235,Extra longmires from sample 52345-080,,1,1,vacuum,liquid,longmires,zymo,28.215,28764.98,-0.427,0,PB118,0.559
52345-235,Extra longmires from sample 52345-080,,2,1,vacuum,liquid,longmires,zymo,28.765,19782.03,-0.543,0,PB118,0.559
52345-235,Extra longmires from sample 52345-080,,3,1,vacuum,liquid,longmires,zymo,28.778,19602.39,-0.951,0,PB118,0.559
52345-236,Extra longmires from sample 52345-081,,3,1,vacuum,liquid,longmires,zymo,29.571,11424.52,0.052,0,PB118,0.217
52345-236,Extra longmires from sample 52345-081,,1,1,vacuum,liquid,longmires,zymo,29.584,11317.46,-0.157,0,PB118,0.217
52345-236,Extra longmires from sample 52345-081,,2,1,vacuum,liquid,longmires,zymo,29.789,9847.978,-0.153,0,PB118,0.217
52345-058,SR_-80_zymo_1,1,1,1,SR,filter,minus 80,zymo,23.251,846484.4,0.816,1,PB118,18.1
52345-058,SR_-80_zymo_1,1,2,1,SR,filter,minus 80,zymo,23.548,691279.8,0.929,1,PB118,18.1
52345-058,SR_-80_zymo_1,1,3,1,SR,filter,minus 80,zymo,23.611,661973.4,0.599,1,PB118,18.1
52345-059,SR_-80_zymo_2,2,1,1,SR,filter,minus 80,zymo,23.84,566670.8,0.758,1,PB118,14.3
52345-059,SR_-80_zymo_2,2,2,1,SR,filter,minus 80,zymo,24.033,496901.9,0.679,1,PB118,14.3
52345-059,SR_-80_zymo_2,2,3,1,SR,filter,minus 80,zymo,24.074,483000.1,0.554,1,PB118,14.3
52345-060,SR_-80_zymo_3,3,3,1,SR,filter,minus 80,zymo,23.836,568040.5,0.616,1,PB118,13.5
52345-060,SR_-80_zymo_3,3,1,1,SR,filter,minus 80,zymo,24.115,469734.3,0.413,0,PB118,13.5
52345-060,SR_-80_zymo_3,3,2,1,SR,filter,minus 80,zymo,24.291,416746.3,-0.131,0,PB118,13.5
52345-049,SR_self-preserving_zymo_1,1,1,1,SR,filter,self-preserving,zymo,24.42,381661.2,0.739,1,PB118,13.4
52345-049,SR_self-preserving_zymo_1,1,3,1,SR,filter,self-preserving,zymo,24.348,400753.8,0.142,0,PB118,13.4
52345-049,SR_self-preserving_zymo_1,1,2,1,SR,filter,self-preserving,zymo,24.549,349571.1,0.41,0,PB118,13.4
52345-050,SR_self-preserving_zymo_2,2,1,1,SR,filter,self-preserving,zymo,24.574,343508.4,-0.047,0,PB118,10.3
52345-050,SR_self-preserving_zymo_2,2,3,1,SR,filter,self-preserving,zymo,24.788,297055.5,-0.353,0,PB118,10.3
52345-050,SR_self-preserving_zymo_2,2,2,1,SR,filter,self-preserving,zymo,24.909,273470.2,-0.151,0,PB118,10.3
52345-051,SR_self-preserving_zymo_3,3,1,1,SR,filter,self-preserving,zymo,24.779,298914.7,1.543,1,PB118,12.8
52345-051,SR_self-preserving_zymo_3,3,2,1,SR,filter,self-preserving,zymo,25.028,252146.7,1.846,1,PB118,12.8
52345-051,SR_self-preserving_zymo_3,3,3,1,SR,filter,self-preserving,zymo,25.116,237570.5,1.35,1,PB118,12.8
