"","experiment","sample","inhibited","dilution_factor","vol_filtered","filter_size","preservation","extraction"
"1","v_ps","52345-011","0",20,1,1,"longmires","PCI"
"2","v_ps","52345-012","0",20,1,1,"longmires","PCI"
"3","v_ps","52345-013","0",20,1,1,"longmires","PCI"
"4","v_ps","52345-014","0",20,1,5,"longmires","PCI"
"5","v_ps","52345-015","0",20,1,5,"longmires","PCI"
"6","v_ps","52345-016","0",20,1,5,"longmires","PCI"
"7","v_ps","52345-017","0",10,3,1,"longmires","PCI"
"8","v_ps","52345-018","0",40,3,1,"longmires","PCI"
"9","v_ps","52345-019","0",20,3,1,"longmires","PCI"
"10","v_ps","52345-020","0",20,3,5,"longmires","PCI"
"11","v_ps","52345-021","0",10,3,5,"longmires","PCI"
"12","v_ps","52345-022","0",40,3,5,"longmires","PCI"
"13","p_e","52345-049","0",1,3,5,"self-preserving","zymo"
"14","p_e","52345-050","0",1,3,5,"self-preserving","zymo"
"15","p_e","52345-051","0",10,3,5,"self-preserving","zymo"
"16","p_e","52345-052","0",1,3,5,"self-preserving","PCI"
"17","p_e","52345-053","0",1,3,5,"self-preserving","PCI"
"18","p_e","52345-054","0",1,3,5,"self-preserving","PCI"
"19","p_e","52345-055","0",10,3,5,"self-preserving","QBTK"
"20","p_e","52345-056","0",10,3,5,"self-preserving","QBTK"
"21","p_e","52345-057","0",10,3,5,"self-preserving","QBTK"
"22","p_e","52345-058","0",10,3,5,"minus 80","zymo"
"23","p_e","52345-059","0",10,3,5,"minus 80","zymo"
"24","p_e","52345-060","0",1,3,5,"minus 80","zymo"
"25","p_e","52345-061","0",1,3,5,"minus 80","PCI"
"26","p_e","52345-062","0",1,3,5,"minus 80","PCI"
"27","p_e","52345-063","0",1,3,5,"minus 80","PCI"
"28","p_e","52345-064","0",10,3,5,"minus 80","QBTK"
"29","p_e","52345-065","0",10,3,5,"minus 80","QBTK"
"30","p_e","52345-066","0",1,3,5,"minus 80","QBTK"
"31","p_e","52345-067","0",1,3,5,"longmires","PCI"
"32","p_e","52345-068","0",1,3,5,"longmires","PCI"
"33","p_e","52345-069","0",1,3,5,"longmires","PCI"
"34","p_e","52345-070","0",1,3,5,"shield","zymo"
"35","p_e","52345-071","0",10,3,5,"shield","zymo"
"36","p_e","52345-072","0",1,3,5,"shield","zymo"
"37","p_e","52345-073","0",1,3,5,"shield","PCI"
"38","p_e","52345-074","0",1,3,5,"shield","PCI"
"39","p_e","52345-075","0",10,3,5,"shield","PCI"
"40","p_e","52345-076","0",10,3,5,"shield","QBTK"
"41","p_e","52345-077","0",1,3,5,"shield","QBTK"
"42","p_e","52345-078","0",1,3,5,"shield","QBTK"
