experiment,sample,tech_rep,DNA_total_conc,Tt_total_conc,ratio_tt_total,extraction,preservation,homogenized,vol_filtered,filter_size
v_ps,52345-019,3,166.6,34584.84,1.8338522688227233e-8,PCI,longmires,1,3,1
v_ps,52345-018,2,202,34152.2,1.4935538606864217e-8,PCI,longmires,1,3,1
v_ps,52345-018,1,202,33310.16,1.4567295245425605e-8,PCI,longmires,1,3,1
v_ps,52345-020,2,131.4,32729.36,2.2003700297422163e-8,PCI,longmires,1,3,5
v_ps,52345-020,3,131.4,31848.48,2.141149135969795e-8,PCI,longmires,1,3,5
v_ps,52345-020,1,131.4,31472.88,2.1158978330671056e-8,PCI,longmires,1,3,5
v_ps,52345-019,2,166.6,31079.2,1.6479666071375548e-8,PCI,longmires,1,3,1
v_ps,52345-022,3,136.8,30684.52,1.9814668443783192e-8,PCI,longmires,1,3,5
v_ps,52345-021,3,111.4,30529.36,2.4209514625930177e-8,PCI,longmires,1,3,5
v_ps,52345-017,2,156.4,30310.84,1.7120435053726516e-8,PCI,longmires,1,3,1
v_ps,52345-017,3,156.4,30227.28,1.7073237960109532e-8,PCI,longmires,1,3,1
v_ps,52345-021,1,111.4,29978.52,2.377270333881026e-8,PCI,longmires,1,3,5
v_ps,52345-018,3,202,29880.96,1.3067627610817619e-8,PCI,longmires,1,3,1
v_ps,52345-022,1,136.8,29570.44,1.909524621329531e-8,PCI,longmires,1,3,5
v_ps,52345-017,1,156.4,29003.64,1.638209086061833e-8,PCI,longmires,1,3,1
v_ps,52345-021,2,111.4,28933.64,2.2944122666226822e-8,PCI,longmires,1,3,5
v_ps,52345-019,1,166.6,28171.24,1.493772774127319e-8,PCI,longmires,1,3,1
v_ps,52345-022,2,136.8,27719.04,1.7899696237059075e-8,PCI,longmires,1,3,5
v_ps,52345-013,2,54.6,8803.2,1.4243000815438978e-8,PCI,longmires,1,1,1
v_ps,52345-013,1,54.6,8215.78,1.3292593743123779e-8,PCI,longmires,1,1,1
v_ps,52345-013,3,54.6,8182.7,1.3239072470521234e-8,PCI,longmires,1,1,1
v_ps,52345-011,2,53.4,7539.44,1.2472439485978217e-8,PCI,longmires,1,1,1
v_ps,52345-014,3,45,7471.58,1.4667412642324303e-8,PCI,longmires,1,1,5
v_ps,52345-014,1,45,6640.68,1.303627797408716e-8,PCI,longmires,1,1,5
v_ps,52345-011,1,53.4,6627.48,1.0963790844483265e-8,PCI,longmires,1,1,1
v_ps,52345-011,3,53.4,6542.44,1.082310980532285e-8,PCI,longmires,1,1,1
v_ps,52345-012,2,46.2,6415.16,1.2266455570342496e-8,PCI,longmires,1,1,1
v_ps,52345-012,1,46.2,6305.2,1.2056200572101631e-8,PCI,longmires,1,1,1
v_ps,52345-015,3,42.4,6059.66,1.2625133342222816e-8,PCI,longmires,1,1,5
v_ps,52345-012,3,46.2,5916.9,1.1313730439172134e-8,PCI,longmires,1,1,1
v_ps,52345-015,1,42.4,5475.22,1.1407468831255416e-8,PCI,longmires,1,1,5
v_ps,52345-015,2,42.4,5434.56,1.1322754850323357e-8,PCI,longmires,1,1,5
v_ps,52345-016,1,31.2,5274,1.493272628431639e-8,PCI,longmires,1,1,5
v_ps,52345-016,3,31.2,5001.06,1.4159927969556945e-8,PCI,longmires,1,1,5
p_e,52345-058,1,18.1,579847.8,2.830016789332917e-4,zymo,minus 80,0,3,5
p_e,52345-058,3,18.1,530053.3999999999,2.5869892431134445e-4,zymo,minus 80,0,3,5
p_e,52345-058,2,18.1,512808.7,2.5028244148136573e-4,zymo,minus 80,0,3,5
p_e,52345-059,1,14.3,413010.3,2.5513992191554026e-4,zymo,minus 80,0,3,5
p_e,52345-059,2,14.3,393331.1,2.4298296226741453e-4,zymo,minus 80,0,3,5
p_e,52345-072,1,8.76,389913.9,3.9320423302192746e-4,zymo,shield,0,3,5
p_e,52345-072,2,8.76,364197.60000000003,3.6727092308437006e-4,zymo,shield,0,3,5
p_e,52345-060,1,13.5,352624.7,2.3074512498364087e-4,zymo,minus 80,0,3,5
p_e,52345-070,1,8.94,329380.89999999997,3.254726247223342e-4,zymo,shield,0,3,5
p_e,52345-072,3,8.76,328874.7,3.3164994675444117e-4,zymo,shield,0,3,5
p_e,52345-060,3,13.5,323682.2,2.1180617720193695e-4,zymo,minus 80,0,3,5
p_e,52345-071,1,9.44,322896.8,3.0216580822902317e-4,zymo,shield,0,3,5
p_e,52345-070,2,8.94,319758.10000000003,3.159640042371207e-4,zymo,shield,0,3,5
p_e,52345-049,2,13.4,313335,2.0656545013448657e-4,zymo,self-preserving,0,3,5
p_e,52345-071,2,9.44,313166.69999999995,2.930604113014314e-4,zymo,shield,0,3,5
p_e,52345-049,1,13.4,312281.1,2.0587066874110013e-4,zymo,self-preserving,0,3,5
p_e,52345-060,2,13.5,296262.7,1.9386382672425075e-4,zymo,minus 80,0,3,5
p_e,52345-049,3,13.4,289641.1,1.9094529560677174e-4,zymo,self-preserving,0,3,5
p_e,52345-070,3,8.94,277189.9,2.739008980166165e-4,zymo,shield,0,3,5
p_e,52345-059,3,14.3,267637.4,1.6533482418641432e-4,zymo,minus 80,0,3,5
p_e,52345-071,3,9.44,260306.5,2.4359400266514946e-4,zymo,shield,0,3,5
p_e,52345-050,1,10.3,249932.59999999998,2.1435778242821362e-4,zymo,self-preserving,0,3,5
p_e,52345-050,2,10.3,240940,2.066451679302892e-4,zymo,self-preserving,0,3,5
p_e,52345-050,3,10.3,227442,1.950684414559676e-4,zymo,self-preserving,0,3,5
p_e,52345-051,1,12.8,219523.80000000002,1.5150438935512367e-4,zymo,self-preserving,0,3,5
p_e,52345-051,2,12.8,186164.5,1.284814625662544e-4,zymo,self-preserving,0,3,5
p_e,52345-051,3,12.8,173195.9,1.1953118098498232e-4,zymo,self-preserving,0,3,5
p_e,52345-066,2,20.2,515607.60000000003,2.254870027638807e-4,QBTK,minus 80,0,3,5
p_e,52345-066,3,20.2,512788.2,2.2425401462407727e-4,QBTK,minus 80,0,3,5
p_e,52345-066,1,20.2,496713.39999999997,2.1722413672462654e-4,QBTK,minus 80,0,3,5
p_e,52345-065,2,22.6,454285.5,1.7757180493448824e-4,QBTK,minus 80,0,3,5
p_e,52345-065,1,22.6,418959.19999999995,1.637634072359986e-4,QBTK,minus 80,0,3,5
p_e,52345-064,2,21.1,407699,1.706910555490429e-4,QBTK,minus 80,0,3,5
p_e,52345-065,3,22.6,395591.8,1.5462952249914005e-4,QBTK,minus 80,0,3,5
p_e,52345-077,2,10.8,390119.3,3.19100330454129e-4,QBTK,shield,0,3,5
p_e,52345-077,1,10.8,375376.60000000003,3.070414539981678e-4,QBTK,shield,0,3,5
p_e,52345-064,3,21.1,362449,1.517462696565237e-4,QBTK,minus 80,0,3,5
p_e,52345-077,3,10.8,356855.3,2.91891849888758e-4,QBTK,shield,0,3,5
p_e,52345-128,3,12.2,355850.4,2.5766842379655917e-4,QBTK,later,0,3,5
