experiment,sample,tech_rep,DNA_total_conc,Tt_total_conc,ratio_tt_total,extraction,preservation,homogenized,inhibition_value,dilution_factor,inhibited,vol_filtered,filter_size
v_ps,52345-021,1,NA,348249,NA,PCI,longmires,1,1.204666667,100,1,3,5
v_ps,52345-022,2,NA,272657.2,NA,PCI,longmires,1,1.134666667,100,1,3,5
v_ps,52345-018,3,NA,225790.8,NA,PCI,longmires,1,1.146666667,100,1,3,1
v_ps,52345-016,3,NA,218856.2,NA,PCI,longmires,1,0.7716666667,100,1,1,5
v_ps,52345-018,2,NA,145160,NA,PCI,longmires,1,0.9916666667,100,1,3,1
v_ps,52345-015,3,NA,136504.5,NA,PCI,longmires,1,0.7916666667,100,1,1,5
v_ps,52345-018,1,NA,124985.5,NA,PCI,longmires,1,1.422666667,100,1,3,1
v_ps,52345-013,3,NA,37390.26,NA,PCI,longmires,1,3.080666667,10,1,1,1
v_ps,52345-013,2,NA,36813.8,NA,PCI,longmires,1,2.461666667,10,1,1,1
v_ps,52345-018,1,NA,33244.31,NA,PCI,longmires,1,3.646666667,10,1,3,1
v_ps,52345-014,1,NA,30173.9,NA,PCI,longmires,1,2.897666667,10,1,1,5
v_ps,52345-013,1,NA,29550.75,NA,PCI,longmires,1,2.974666667,10,1,1,1
v_ps,52345-019,3,NA,28050.48,NA,PCI,longmires,1,3.887666667,10,1,3,1
v_ps,52345-011,1,NA,27578.39,NA,PCI,longmires,1,4.570666667,10,1,1,1
v_ps,52345-011,3,NA,27536.16,NA,PCI,longmires,1,5.709666667,10,1,1,1
v_ps,52345-012,1,NA,26221.27,NA,PCI,longmires,1,2.917666667,10,1,1,1
v_ps,52345-014,3,NA,26211.34,NA,PCI,longmires,1,2.449666667,10,1,1,5
v_ps,52345-020,2,NA,26064.06,NA,PCI,longmires,1,4.863666667,10,1,3,5
v_ps,52345-012,3,NA,25540.42,NA,PCI,longmires,1,2.254666667,10,1,1,1
v_ps,52345-018,3,202,25253.5,1.1043933456949936e-8,PCI,longmires,1,0.661,20,1,3,1
v_ps,52345-011,2,NA,24506.99,NA,PCI,longmires,1,2.424666667,10,1,1,1
v_ps,52345-021,2,NA,24344.26,NA,PCI,longmires,1,2.324666667,10,1,3,5
v_ps,52345-018,2,202,23790.12,1.0403963894622678e-8,PCI,longmires,1,0.711,20,1,3,1
v_ps,52345-014,2,NA,23627.56,NA,PCI,longmires,1,3.254666667,10,1,1,5
v_ps,52345-015,3,NA,22952.62,NA,PCI,longmires,1,2.910666667,10,1,1,5
v_ps,52345-018,3,NA,21351.87,NA,PCI,longmires,1,7.811666667,10,1,3,1
v_ps,52345-020,1,NA,21209.91,NA,PCI,longmires,1,7.433666667,10,1,3,5
v_ps,52345-015,1,NA,20949.12,NA,PCI,longmires,1,4.564666667,10,1,1,5
v_ps,52345-018,2,NA,20675.69,NA,PCI,longmires,1,4.378666667,10,1,3,1
v_ps,52345-019,2,NA,20585.53,NA,PCI,longmires,1,6.219666667,10,1,3,1
